3,1,151,48.8,0,4.69,0,1.015973197,-21.78995939,220,5,1.1,0.9
4,1,171.41,23.4,0,2.1,0,1.025492534,-6.86728794,220,5,1.1,0.9
10,1,134,24.7,0,12.44,0,1.036638346,-23.92975155,220,5,1.1,0.9
15,1,59.67,26.7,0,12.84,0,1.024223855,-48.85064432,220,4,1.1,0.9
21,1,161.2,39.3,0,30.71,0,1.034425362,-21.56418168,220,5,1.1,0.9
22,1,0,0,0,0.85,0,1.031469642,-18.24360029,220,5,1.1,0.9
26,1,167.3,54.8,0,110.54,0,1.03282974,-3.236892311,380,5,1.1,0.9
29,1,152.9,49.4,0,27.65,0,0.9968307765,-13.61256662,380,5,1.1,0.9
32,1,0,0,0,0,0,1.002305074,-42.80490272,220,4,1.1,0.9
33,2,0,0,0,0,0,1.031909,-38.53660918,220,4,1.1,0.9
38,1,42.75,12.8,0,13.3,0,1.028475994,27.42309836,220,8,1.1,0.9
39,2,0,0,0,0,0,1.005551,-38.13696951,150,10,1.1,0.9
42,1,20.82,7.9,0,26.89,0,1.047222073,-48.9806333,380,4,1.1,0.9
44,1,0,0,0,7.27,0,1.044002693,-21.82036452,220,5,1.1,0.9
51,2,0,0,0,0,0,1.01198,-47.97350517,220,4,1.1,0.9
52,1,127.6,31.8,0,20.51,0,1.013776051,1.564048389,150,8,1.1,0.9
53,1,48.65,16.1,0,7.14,0,1.06052932,-9.0778281,220,5,1.1,0.9
58,1,0,0,0,2.31,0,0.9966634821,-15.5759665,380,5,1.1,0.9
59,1,119.2,20.7,0,3.31,0,1.019569671,-23.86029112,220,5,1.1,0.9
69,1,62.87,20.5,0,1.15,0,1.012352218,0.3473111961,150,8,1.1,0.9
71,1,126.3,42.4,0,55.24,0,1.038001693,4.675580265,150,8,1.1,0.9
72,1,6.91,-4.6,0,5.75,0,1.008815481,-41.11242432,220,4,1.1,0.9
75,1,38.74,6.1,0,1.17,0,1.024316371,-53.01769194,220,4,1.1,0.9
76,1,22.13,10.7,0,14.21,0,1.028537856,27.43271591,220,8,1.1,0.9
77,1,0,0,0,0.73,0,1.014089837,-50.30348818,220,4,1.1,0.9
89,1,0,0,0.199111,4.530599,0,0.9957437163,-2.119793545,380,2,1.1,0.9
90,1,363.25,115.39,0,3.95,0,1.041526938,-27.52856498,220,5,1.1,0.9
91,1,0,0,0,0.02,0,1.011774341,2.659082293,150,8,1.1,0.9
96,1,-8.4,28.66,0,3.49,0,1.034004414,-15.50421285,220,5,1.1,0.9
113,1,0,0,0,6.532711,0,1.030360659,-14.00643567,380,5,1.1,0.9
115,1,0,0,0,4.21,0,1.065259051,-19.37373467,220,5,1.1,0.9
118,1,704.53,-35.33,0,13.102834,0,1.021900519,-11.30294345,380,5,1.1,0.9
124,2,0,0,0,0,0,1.079291,8.491543252,220,5,1.1,0.9
128,1,23.73,12.7,0,0.52,0,1.019686796,-15.6152813,220,5,1.1,0.9
130,1,0,0,0.135375,47.750675,0,1.062977339,-47.16504854,380,10,1.1,0.9
132,1,0,0,0,21.39,0,1.067825684,-43.83518773,380,1,1.1,0.9
133,1,38.14,12.5,0,6.28,0,1.019701728,3.124683007,150,8,1.1,0.9
138,1,-75.38,7.8,0,29.9,0,1.071153568,-41.83242843,380,10,1.1,0.9
139,1,-764.34,66.91,0,33.47,0,1.003712781,18.89061925,380,8,1.1,0.9
140,1,0,0,0,4.14,0,1.029115627,18.89002867,220,8,1.1,0.9
143,1,0,0,0,0,0,1.014169512,5.900905465,150,8,1.1,0.9
145,1,38.34,5.6,0,7.64,0,1.042169335,-8.817788261,220,5,1.1,0.9
148,1,32.34,12,0,6.1,0,1.041686562,-7.871746281,220,5,1.1,0.9
150,2,0,0,0,0,0,1.062067,2.664438907,220,5,1.1,0.9
163,1,147.76,32.73,0,8.34,0,1.037836992,-10.56282648,220,5,1.1,0.9
164,1,0,0,0,5.17,0,1.01598973,0.5912409523,150,8,1.1,0.9
171,1,100.8,13.2,0,5.24,0,1.063508141,-25.06790088,220,5,1.1,0.9
172,1,111.7,10.96,0,4.22,0,1.016565189,-47.09279449,220,4,1.1,0.9
174,1,370.5,-17,0,9.91,0,1.072967104,-27.64416425,220,5,1.1,0.9
177,1,94.9,36.2,0,16.46,0,0.9733726375,-43.1819807,220,10,1.1,0.9
179,1,0,0,0,0,0,1.046677366,-49.78283618,380,4,1.1,0.9
184,1,0,0,0,2.42,0,1.043060423,-11.39482396,220,5,1.1,0.9
188,1,36.84,13.9,0,3.3,0,1.017332039,-19.31831885,220,5,1.1,0.9
194,2,0,0,0,0,0,1.029584,14.27949719,150,8,1.1,0.9
195,1,73.14,21.55,0,8.52,0,1.053189866,-8.509621832,220,5,1.1,0.9
196,1,0,0,0,12.48,0,1.072633621,-25.93860214,220,5,1.1,0.9
198,1,39.74,11.8,0,1.44,0,1.015277806,-15.89048491,220,5,1.1,0.9
199,1,86.8,28.4,0,1.34,0,1.011804047,1.827205096,150,8,1.1,0.9
201,1,0,0,0,0,0,1.024333894,-51.24223769,220,4,1.1,0.9
205,1,46.15,18.2,0,1.29,0,1.009125342,6.504202116,150,8,1.1,0.9
207,1,321.98,84.4,0,1.34,0,1.027139995,-12.94165066,220,5,1.1,0.9
211,1,75.28,19.2,0,1.9,0,1.032452382,14.67071751,110,8,1.1,0.9
216,1,155.6,54.7,0,2.21,0,1.038536378,-24.28582953,220,5,1.1,0.9
217,1,105.2,0.1,0,7.36,0,1.034879942,-2.509051787,220,5,1.1,0.9
218,1,69.83,15.12,0,2.23,0,1.042060548,-13.12651251,220,5,1.1,0.9
221,2,0,0,0,0,0,0.996091,-16.20149262,380,5,1.1,0.9
225,1,0,0,0,1.15,0,1.062219063,-19.76548599,220,5,1.1,0.9
228,1,-23.43,57.4,0,0,0,1.044423722,-6.552027832,150,2,1.1,0.9
230,1,152.07,22.52,0,7.87,0,1.006743664,-46.79941161,220,4,1.1,0.9
231,1,-0.13,-1,0,0,0,1.019754914,24.21705293,110,8,1.1,0.9
236,1,45.85,7,0,1.05,0,1.028333526,-54.06177642,220,4,1.1,0.9
243,1,0,-0.01,0,13.49,0,1.01714555,18.26377398,150,8,1.1,0.9
244,1,0,0,0,0.68,0,1.018924145,6.394742663,150,8,1.1,0.9
249,1,0,0,0,26.3,0,1.001688441,-42.80391034,220,4,1.1,0.9
257,1,113.9,24.5,0,6.72,0,1.033961524,-46.13660443,220,4,1.1,0.9
261,1,0,0,0,1.29,0,1.056850059,-45.62851641,380,10,1.1,0.9
264,1,38.74,9,0,0.57,0,1.015049066,-46.84410145,220,4,1.1,0.9
266,1,0,0,0,140.96,0,1.058056117,-42.32927261,380,4,1.1,0.9
267,1,103.8,2.7,0,3.33,0,1.016272819,-51.48251264,220,4,1.1,0.9
268,1,-0.13,-1,0,0,0,1.04664379,27.58304315,220,8,1.1,0.9
271,1,96.7,26.8,0,0,0,1.039716601,-6.876981967,150,2,1.1,0.9
275,1,102.1,25.3,0,1.11,0,1.013393433,2.620380197,150,8,1.1,0.9
280,1,119.6,29.6,0,5.34,0,1.03184439,-10.98979143,220,5,1.1,0.9
281,1,0,0,0,18.07,0,1.035027816,14.49940158,380,8,1.1,0.9
283,1,27.33,11.9,0,1.17,0,1.036054786,-11.62298702,220,5,1.1,0.9
284,1,191.2,-3.4,0,19.21,0,1.023759046,-48.90125251,220,4,1.1,0.9
292,1,13.82,1.4,0,0.7,0,1.042925018,-14.66629601,220,5,1.1,0.9
297,1,23.73,9.4,0,1.45,0,1.025935819,5.918075882,150,8,1.1,0.9
