,Complex Voltages,Voltages Magnitude,Voltages Phase Angle
0,(0.9378459815695053-0.3887014696938512j),1.015206342419229,-22.51214609050486
1,(1.0166202927526466-0.12712051199242386j),1.024537185369908,-7.1274011278344505
2,(0.9370378508380494-0.43325740163424165j),1.0323526093220499,-24.814365325647834
3,(0.651621258263663-0.7901281572241198j),1.0241644248163977,-50.487487027643624
4,(0.9531041055745768-0.39246592334857655j),1.0307458159279448,-22.380715440328313
5,(0.9734776730399701-0.334077453821708j),1.0292067455372174,-18.941163024237042
6,(1.0308718250114184-0.06071397112382605j),1.0326581747567765,-3.3705844138105254
7,(0.9669327618269774-0.24111890645025866j),0.9965426699053658,-14.001979985740881
8,(0.7162171635091268-0.7001475249779348j),1.0015855340597661,-44.349967582441714
9,(0.7902367183450376-0.663597855072589j),1.0319089999983888,-40.02171424374639
10,(0.9106437204475414+0.47683191535737035j),1.0279302802690065,27.637485855902135
11,(0.7747689267067851-0.6409882399936024j),1.0055509999997414,-39.60191604826977
12,(0.6637379485614868-0.8097709704476366j),1.0470325157034608,-50.65985209191375
13,(0.9598630580987514-0.4004728219628927j),1.0400555617050513,-22.646810210682883
14,(0.6558363537088467-0.7705096239757593j),1.0118331895551664,-49.59649568551996
15,(1.010547601032922+0.02056658656555559j),1.010756864154952,1.1659183133094215
16,(1.0461942522513685-0.17341451884374115j),1.0604692399073188,-9.411629882427405
17,(0.9580657729034431-0.2746896596029584j),0.9966666615784141,-15.99827145175045
18,(0.9215998505069705-0.423957967041603j),1.0144390776545034,-24.703560924191237
19,(1.0090929294258282-0.001432826274593391j),1.0090939466711375,-0.08135508707242049
20,(1.033291821836226+0.07839258348516295j),1.0362612538443698,4.338538486080227
21,(0.7425456197988103-0.6825860160424491j),1.0086117522511335,-42.590813904240754
22,(0.5904853796394438-0.8366917496263417j),1.0240732725057944,-54.78791770175819
23,(0.9106176467148493+0.4770166348041401j),1.0279928834327388,27.647280714239535
24,(0.6240132370858313-0.7990172651215833j),1.0138151261550168,-52.011020826265195
25,(0.9935475628417688-0.04403725798713841j),0.9945230212115979,-2.537874157755532
26,(0.9134195636955017-0.4964785230083015j),1.039627925341651,-28.525774444279424
27,(1.0084487716463186+0.04027566239859477j),1.0092527205891568,2.2870767208606897
28,(0.9939326610841043-0.2839271235034516j),1.0336908368708089,-15.942537290440113
29,(0.9965981919875552-0.2603529615756948j),1.0300444751922604,-14.640832986767498
30,(0.9969528278794579-0.3658148169380421j),1.0619488788582345,-20.14974978920658
31,(1.0009072463008413-0.20588623128044803j),1.0218632276035766,-11.623589063265822
32,(1.067264115308248+0.1606747362092852j),1.0792909999998244,8.56148386737131
33,(0.9769657533253276-0.28547309752832106j),1.0178197151671504,-16.288562851813
34,(0.6995746914485876-0.7997958698883147j),1.0625809062870426,-48.82408569037017
35,(0.7493506007034442-0.7605193310157531j),1.0676684764585218,-45.42381759161228
36,(1.015677953957975+0.049097887828666656j),1.0168639578358034,2.7675245221066715
37,(0.7783245804042418-0.7353061242141203j),1.0707307078664692,-43.37205160755193
38,(0.9465585202538714+0.3241728422990646j),1.0005303913172519,18.905061561841038
39,(0.9701709480654688+0.33226825074119826j),1.0254920082189165,18.90552337414728
40,(1.007379009982657+0.09857673761004906j),1.0121906159175151,5.588865955754021
41,(1.0291441559866445-0.1642282002169299j),1.0421653398323871,-9.066669354986743
42,(1.0309629099075819-0.14774318789772412j),1.0414953534103217,-8.155304969219387
43,(1.0609577048404886+0.04852897101809208j),1.0620669999997514,2.618924868007003
44,(1.0165818943769045-0.19901919933438617j),1.0358800073747132,-11.076865247230513
45,(1.0128561838365+0.0026158684410770355j),1.0128595617870915,0.14797548812071643
46,(0.9549304023344687-0.4663017159492717j),1.0626990936290035,-26.026702676719516
47,(0.6701041645779358-0.7642537502930667j),1.0164267736643453,-48.755441143008944
48,(0.9390269828360013-0.5126718541339441j),1.0698617221469418,-28.63280681636974
49,(0.6906952550847663-0.6847371318150538j),0.9725866928366421,-44.75180664263412
50,(0.651866115103758-0.8187724129733847j),1.0465742669618456,-51.47493027826486
51,(1.0191830338658727-0.21617276480713565j),1.041856382024128,-11.975186924769279
52,(0.9541067092600828-0.34842839255301017j),1.0157371497548855,-20.061590632168937
53,(0.9982617375071422+0.25202522985099035j),1.0295839999981657,14.169042761592243
54,(1.0407070618929524-0.16138533618059492j),1.0531459611126963,-8.814805036793043
55,(0.9516467246497922-0.482608965127353j),1.0670252582567912,-26.890950683107796
56,(0.9711059223865631-0.2889452125821129j),1.0131811527897565,-16.569974826253613
57,(1.0086387453620582+0.02524909845024915j),1.008954724265711,1.4339769481768565
58,(0.6167118237776874-0.8177435961616435j),1.0242255916791858,-52.977759103417085
59,(1.0010761534067474+0.1088700413655859j),1.0069787241181383,6.206695667711125
60,(0.9970940281003577-0.24046098390537324j),1.0256792801134949,-13.558657147008711
61,(0.9948632844547246+0.25857713216685313j),1.0279178410922132,14.569505529106742
